word,lexeme,gender,ABC,NBC,CBS,CNN,FOX,MSNBC,PBS,NPR,IND
congressperson,congressperson,neutral,15,0,3,11,2,0,0,4,8
congressman,congressperson,male,1996,536,1228,3821,2942,84,1672,1076,230
congresswoman,congressperson,female,280,77,261,487,485,7,287,166,6
actress,actor,female,948,495,582,976,164,36,137,691,140
actor,actor,male_neutral,1931,913,957,1664,321,59,342,2165,128
anchorman,anchor,male,27,19,36,39,11,2,6,21,5
anchorwoman,anchor,female,10,1,8,2,0,0,3,3,1
businessperson,businessperson,neutral,5,2,11,7,4,0,10,9,2
businesswoman,businessperson,female,124,20,29,23,8,0,15,12,3
businessman,businessperson,male,335,108,274,245,216,9,177,213,30
cameraman,camera operator,male,101,63,89,144,34,1,20,52,29
camerawoman,camera operator,female,1,0,0,1,1,0,0,1,1
camera_operator,camera operator,neutral,2,3,1,9,0,0,0,3,3
craftsman,craftsperson,male,5,3,12,9,1,0,5,15,0
craftswoman,craftsperson,female,0,0,0,0,0,0,0,0,0
craftsperson,craftsperson,neutral,0,0,1,0,0,0,0,0,0
crewman,crewmember,male,13,3,4,5,1,0,0,8,0
crewwoman,crewmember,female,0,0,0,0,0,0,0,0,0
crewmember,crewmember,neutral,1,1,1,2,0,0,0,21,0
fireman,firefighter,male,66,27,54,39,18,0,7,24,20
firewoman,firefighter,female,0,0,0,0,0,0,0,0,0
firefighter,firefighter,neutral,122,155,106,121,21,5,16,79,20
steward,flight attendant,male,14,5,15,18,11,0,23,30,0
stewardess,flight attendant,female,3,4,7,19,2,0,0,12,4
flight_attendant,flight attendant,neutral,60,39,53,63,22,4,11,30,6
foreman,foreperson,male,587,44,122,297,19,0,10,135,21
forewoman,foreperson,female,7,23,0,5,0,0,9,8,2
foreperson,foreperson,neutral,19,9,17,10,5,0,0,0,4
heir,heir,male_neutral,57,16,41,94,28,1,27,38,6
heiress,heir,female,32,14,21,21,2,1,0,16,0
hero,hero,male_neutral,726,307,746,1022,409,31,229,716,169
heroine,hero,female,25,11,37,37,10,1,7,50,5
host,host,male_neutral,888,461,476,1525,1062,115,279,1015,185
hostess,host,female,26,26,21,27,6,1,6,22,26
hunter,hunter,male_neutral,398,132,243,910,205,8,112,320,34
huntress,hunter,female,1,1,0,0,0,0,3,4,0
layman,layperson,male,22,7,15,40,11,1,15,13,3
laywoman,layperson,female,0,0,1,0,0,0,0,0,0
layperson,layperson,neutral,6,3,3,4,2,1,4,17,0
weatherman,meteorologist,male,31,20,20,16,4,1,1,15,1
weatherwoman,meteorologist,female,0,0,0,0,0,0,0,0,0
meteorologist,meteorologist,neutral,17,13,71,299,38,3,4,36,0
policeman,police officer,male,194,113,145,152,38,5,79,166,29
policewoman,police officer,female,6,2,7,5,1,0,9,6,0
police_officer,police officer,neutral,614,479,550,641,241,22,169,346,140
salesman,salesperson,male,280,133,174,96,21,2,42,153,19
saleswoman,salesperson,female,15,2,3,2,0,1,0,2,1
salesperson,salesperson,neutral,70,26,11,19,2,0,0,15,1
stuntman,stunt double,male,3,8,9,8,0,1,0,4,0
stuntwoman,stunt double,female,0,0,3,0,0,0,0,1,3
stunt double,stunt double,neutral,3,3,6,1,1,0,1,3,1
villain,villain,male_neutral,105,59,47,99,66,4,36,101,10
villainess,villain,female,1,1,0,5,0,0,0,1,0
anchor,anchor,neutral,393,143,303,4733,424,41,75,170,24
